instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta42,1,1000,2330,95,20.165033522434243,163.32
ta42,2,1001,2380,63,22.743682310469314,161.94
ta42,3,1002,2320,100,19.64930376482723,163.22
ta42,4,1003,2324,100,19.855595667870038,161.79
ta42,5,1004,2385,56,23.00154718927282,160.32
ta42,6,1005,2280,81,17.586384734399175,160.3
ta42,7,1006,2288,88,17.998968540484785,161.85
ta42,8,1007,2297,99,18.4631253223311,162.48
ta42,9,1008,2337,71,20.526044352759154,161.68
ta42,10,1009,2306,100,18.92728210417741,161.36
